profile_id,reasoning,representation,operation,execution,conflict,expected_rule,expected_label,expected_action,evidence_ids,evidence_count,uncertainty,teacher_status,applied,data_origin,participant_data
C001,pass,pass,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C002,pass,pass,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C003,pass,pass,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C004,pass,pass,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C005,pass,pass,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C006,pass,pass,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C007,pass,pass,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C008,pass,pass,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C009,pass,pass,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C010,pass,fail,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C011,pass,fail,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C012,pass,fail,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C013,pass,fail,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C014,pass,fail,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C015,pass,fail,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C016,pass,fail,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C017,pass,fail,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C018,pass,fail,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C019,pass,unknown,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C020,pass,unknown,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C021,pass,unknown,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C022,pass,unknown,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C023,pass,unknown,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation"", ""constructed-execution""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C024,pass,unknown,fail,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-operation""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C025,pass,unknown,unknown,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C026,pass,unknown,unknown,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-execution""]",2,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C027,pass,unknown,unknown,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning""]",1,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C028,fail,pass,pass,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C029,fail,pass,pass,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C030,fail,pass,pass,unknown,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation""]",3,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C031,fail,pass,fail,pass,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
C032,fail,pass,fail,fail,true,R0,review,Ask the teacher to reconcile conflicting evidence,"[""constructed-reasoning"", ""constructed-representation"", ""constructed-operation"", ""constructed-execution""]",4,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
